site_id,err_p95_m,n_fix,hdop_cut_a_median,class,center_x_6677,center_y_6677,risk_proxy_5m,svf_proxy_5m,risk_horizon,overhead_flag,overhead_score
A01,22.35,720,0.5303467304781568,alley,-11820.35590806318,-37979.816068177024,0.9852636960652494,0.0147363039347505,0.9852636960652494,0,0.0
A02,23.77,720,0.5728699863989114,alley,-11836.676173429052,-38021.29902286202,0.987233954149468,0.012766045850532,0.987233954149468,0,0.0
A03,5.0,720,0.4749187887770052,alley,-12090.229144351042,-37949.21061442697,0.5834429460547078,0.4165570539452922,0.5834429460547078,0,0.0
A04,5.0,720,0.4663844784117261,alley,-11804.075388415004,-37887.067573512315,0.2641934426351899,0.73580655736481,0.2641934426351899,0,0.0
A05,5.0,720,0.4807555663754232,alley,-11765.506460702774,-37966.57242654238,0.2622936664036072,0.7377063335963928,0.2622936664036072,0,0.0
A06,57.27,720,0.4586813258782584,alley,-11838.119409916264,-37789.96885364837,0.3273954219561674,0.6726045780438326,0.3273954219561674,0,0.0
A07,5.0,720,0.4731438068178268,alley,-12171.158299345778,-37931.50669948509,0.9857818403812884,0.0142181596187115,0.9857818403812884,0,0.0
A08,5.0,720,0.4460458522381242,alley,-12167.004775405278,-37848.49664516539,0.9804025962972264,0.0195974037027737,0.9804025962972264,0,0.0
A09,5.0,720,0.4881682982490742,alley,-12198.856588913164,-37957.684348426046,0.9800948245412636,0.0199051754587363,0.9800948245412636,0,0.0
A10,5.0,720,0.471056075547595,alley,-11968.153184042963,-38063.96062840187,0.9871536266369396,0.0128463733630604,0.9871536266369396,0,0.0
A11,56.74,720,0.5832474332248235,alley,-11971.398730008992,-37975.65091090986,0.7970300598866183,0.2029699401133816,0.1366707475231365,1,1.0
A12,5.0,720,0.4901856499700774,alley,-11828.533891718536,-37933.58518755058,0.9854300833953632,0.0145699166046368,0.3032612081893361,1,1.0
A13,5.0,720,0.5022145272957699,alley,-12236.99033126365,-37893.39939263766,0.9839796234644592,0.0160203765355408,0.9839796234644592,0,0.0
A14,5.0,720,0.5537160922845614,alley,-11807.715959627183,-38049.415028860254,0.4565382072539353,0.5434617927460648,0.4565382072539353,0,0.0
A15,5.0,720,0.6174778741822298,alley,-11766.30250001,-37771.795027464235,0.9880722753864132,0.0119277246135868,0.9880722753864132,0,0.0
O01,5.0,720,0.4407245596033419,open,-11826.717755716858,-37772.50371983221,0.7972194497904923,0.2027805502095077,0.7972194497904923,0,0.0
O02,5.0,720,0.4442265107849896,open,-12179.954239212424,-38064.084916083615,0.44875477814978,0.55124522185022,0.44875477814978,0,0.0
O03,5.0,720,0.4534348256658329,open,-12008.560315024955,-37890.09725305605,0.9826838625084212,0.0173161374915787,0.9826838625084212,0,0.0
O04,5.0,720,0.4635647222200804,open,-12212.991811662638,-37719.770450372474,0.4679851728200068,0.5320148271799932,0.4679851728200068,0,0.0
O05,5.0,720,0.5019935110281813,open,-12037.354615931905,-38055.80799309419,0.9869940271037312,0.0130059728962689,0.9869940271037312,0,0.0
O06,5.0,720,0.4667759617582555,open,-12013.779831888134,-37803.73586297919,0.076840601385323,0.923159398614677,0.076840601385323,0,0.0
O07,5.0,720,0.4670511664206707,open,-11966.837941564178,-37893.18406451368,0.9865177040851564,0.0134822959148437,0.9865177040851564,0,0.0
O08,5.0,720,0.4971163056331476,open,-11776.453090721256,-37905.243514785034,0.9656332893564082,0.0343667106435917,0.5041212771424959,1,1.0
O09,5.0,720,0.4611361777074095,open,-12169.616389930456,-37636.7988422755,0.7916788842324851,0.2083211157675149,0.7916788842324851,0,0.0
O10,5.0,720,0.4551798606179251,open,-12006.116846186149,-37671.598253469776,0.4898539499723507,0.5101460500276493,0.4898539499723507,0,0.0
O11,5.0,720,0.431367575045164,open,-12068.16517348191,-37661.770414423576,0.988004942501323,0.011995057498677,0.988004942501323,0,0.0
O12,5.0,720,0.437530025726361,open,-11843.170800261589,-37709.72463488004,0.9879979623282762,0.0120020376717238,0.9879979623282762,0,0.0
O13,5.0,720,0.4226966064527139,open,-12011.637243034173,-37580.8698843816,0.3496513905814585,0.6503486094185416,0.3496513905814585,0,0.0
O14,5.0,720,0.4585500047416406,open,-12020.825837077336,-37767.64912796764,0.1569481640092593,0.8430518359907406,0.1569481640092593,0,0.0
O15,2.5,720,0.5070824085105378,open,-12248.383338948754,-37610.9871738891,0.987932981979407,0.0120670180205929,0.987932981979407,0,0.0
S01,5.0,720,0.5297180821763335,street,-11805.081512605537,-37596.80461318382,0.4549819610089515,0.5450180389910484,0.4549819610089515,0,0.0
S02,5.0,720,0.4487478401189939,street,-12052.038970698068,-37720.6827746632,0.988679380305229,0.011320619694771,0.988679380305229,0,0.0
S03,5.0,720,0.4301177638386639,street,-12240.509187651782,-37813.90933528223,0.5248223017992887,0.4751776982007113,0.5248223017992887,0,0.0
S04,5.0,720,0.4610855780892973,street,-12126.326383890952,-37609.31437292478,0.9881655294429053,0.0118344705570947,0.9881655294429053,0,0.0
S05,5.0,720,0.4255068997789007,street,-12192.73677057596,-37780.82767168342,0.9850361312167656,0.0149638687832344,0.9850361312167656,0,0.0
S06,5.0,720,0.4357707305586342,street,-12234.325216658484,-37651.994035828495,0.7038806232366893,0.2961193767633107,0.7038806232366893,0,0.0
S07,5.0,720,0.4861371394813998,street,-12264.30250001,-37915.02882033684,0.9869474531322654,0.0130525468677346,0.9869474531322654,0,0.0
S08,5.0,720,0.4635175994478399,street,-12198.289512790594,-38021.20724119559,0.5764986669306394,0.4235013330693605,0.5764986669306394,0,0.0
S09,5.0,720,0.4516736097074535,street,-12090.313583156989,-37702.30235831528,0.4680182467188958,0.5319817532811042,0.4680182467188958,0,0.0
S10,5.0,720,0.4398373138027427,street,-11877.512448499354,-37625.6759086593,0.8144475123146319,0.1855524876853681,0.8144475123146319,0,0.0
S11,5.0,720,0.4468293115573784,street,-12124.081492719284,-37770.93027373926,0.3482321478855875,0.6517678521144126,0.3482321478855875,0,0.0
S12,5.0,720,0.464383923562126,street,-11775.748440952586,-37657.88212447583,0.7998868668655028,0.2001131331344972,0.7998868668655028,0,0.0
S13,16.66,720,0.517408173345541,street,-12147.111802511004,-38013.97780934901,0.912828047850325,0.0871719521496749,0.912828047850325,0,0.0
S14,5.0,720,0.4583516382188726,street,-11846.605176205898,-37667.18651644817,0.6506853771832457,0.3493146228167543,0.6506853771832457,0,0.0
S15,5.0,720,0.436455256740248,street,-11938.38609721707,-37697.27609317706,0.746404476440537,0.253595523559463,0.746404476440537,0,0.0
